label,precision,recall,f1,support,error_rate
caution_and_advice,0.38372093023255816,0.6804123711340206,0.49070631970260226,97,0.31958762886597936
displaced_people_and_evacuations,0.5853658536585366,0.8372093023255814,0.6889952153110048,258,0.16279069767441856
infrastructure_and_utility_damage,0.49033816425120774,0.688135593220339,0.5726375176304656,295,0.311864406779661
injured_or_dead_people,0.879800853485064,0.908223201174743,0.8937861271676301,1362,0.09177679882525702
missing_or_found_people,0.75,0.696,0.7219917012448134,125,0.30400000000000005
not_humanitarian,0.6179981634527089,0.7291440953412784,0.6689860834990059,923,0.27085590465872156
other_relevant_information,0.5436893203883495,0.15405777166437415,0.24008574490889603,727,0.8459422283356258
requests_or_urgent_needs,0.3068181818181818,0.4909090909090909,0.3776223776223776,55,0.509090909090909
rescue_volunteering_or_donation_effort,0.9061371841155235,0.7598385469223007,0.8265642151481889,991,0.24016145307769932
sympathy_and_support,0.5720338983050848,0.8181818181818182,0.6733167082294265,330,0.18181818181818177
