label,precision,recall,f1,support,error_rate
caution_and_advice,0.536723163841808,0.6168831168831169,0.5740181268882175,154,0.597457627118644
displaced_people_and_evacuations,0.6081081081081081,0.9782608695652174,0.75,92,0.4
infrastructure_and_utility_damage,0.7506471095772217,0.8708708708708709,0.8063021316033363,999,0.3245341614906832
injured_or_dead_people,0.8877551020408163,0.8246445497630331,0.8550368550368549,211,0.2532188841201717
missing_or_found_people,0.0,0.0,0.0,0,1.0
requests_or_urgent_needs,0.5130674002751031,0.748995983935743,0.6089795918367347,498,0.562206572769953
rescue_volunteering_or_donation_effort,0.7850533807829182,0.7969653179190751,0.7909645034062388,1384,0.3457888493475682
sympathy_and_support,0.6609808102345416,0.6595744680851063,0.6602768903088392,470,0.5071542130365659
other_relevant_information,0.5683297180043384,0.23883318140382861,0.3363286264441592,1097,0.7978395061728395
not_humanitarian,0.30357142857142855,0.5396825396825397,0.38857142857142857,189,0.7588652482269503
