event,split,run_dir,predictions_csv,macro_f1,accuracy,num_total,key
canada_wildfires_2016,test,runs\canada_wildfires_2016\test\gpt-4o-mini\20251031-224108-modeS-RULES1-filtered-TIER1,runs\canada_wildfires_2016\test\gpt-4o-mini\20251031-224108-modeS-RULES1-filtered-TIER1\predictions.csv,0.6449375768686181,0.750561797752809,445,OPENAI_API_KEY_1
kaikoura_earthquake_2016,test,runs\kaikoura_earthquake_2016\test\gpt-4o-mini\20251031-224632-modeS-RULES1-filtered-TIER1,runs\kaikoura_earthquake_2016\test\gpt-4o-mini\20251031-224632-modeS-RULES1-filtered-TIER1\predictions.csv,0.6961806088313209,0.7004608294930875,434,OPENAI_API_KEY_1
cyclone_idai_2019,test,runs\cyclone_idai_2019\test\gpt-4o-mini\20251031-230701-modeS-RULES1-filtered-TIER1,runs\cyclone_idai_2019\test\gpt-4o-mini\20251031-230701-modeS-RULES1-filtered-TIER1\predictions.csv,0.5788358530392669,0.6777920410783055,779,OPENAI_API_KEY_1
hurricane_florence_2018,test,runs\hurricane_florence_2018\test\gpt-4o-mini\20251031-231727-modeS-RULES1-filtered-TIER1,runs\hurricane_florence_2018\test\gpt-4o-mini\20251031-231727-modeS-RULES1-filtered-TIER1\predictions.csv,0.6923499183619308,0.7556451612903226,1240,OPENAI_API_KEY_1
hurricane_maria_2017,test,runs\hurricane_maria_2017\test\gpt-4o-mini\20251031-233755-modeS-RULES1-filtered-TIER1,runs\hurricane_maria_2017\test\gpt-4o-mini\20251031-233755-modeS-RULES1-filtered-TIER1\predictions.csv,0.6267631868883142,0.6627260083449235,1438,OPENAI_API_KEY_1
california_wildfires_2018,test,runs\california_wildfires_2018\test\gpt-4o-mini\20251031-235823-modeS-RULES1-filtered-TIER1,runs\california_wildfires_2018\test\gpt-4o-mini\20251031-235823-modeS-RULES1-filtered-TIER1\predictions.csv,0.6098455963499841,0.7027586206896552,1450,OPENAI_API_KEY_1
hurricane_dorian_2019,test,runs\hurricane_dorian_2019\test\gpt-4o-mini\20251101-003852-modeS-RULES1-filtered-TIER1,runs\hurricane_dorian_2019\test\gpt-4o-mini\20251101-003852-modeS-RULES1-filtered-TIER1\predictions.csv,0.5993891282080168,0.6215139442231076,1506,OPENAI_API_KEY_1
kerala_floods_2018,test,runs\kerala_floods_2018\test\gpt-4o-mini\20251101-005932-modeS-RULES1-filtered-TIER1,runs\kerala_floods_2018\test\gpt-4o-mini\20251101-005932-modeS-RULES1-filtered-TIER1\predictions.csv,0.5437709540831178,0.6734563971992361,1571,OPENAI_API_KEY_1
hurricane_harvey_2017,test,runs\hurricane_harvey_2017\test\gpt-4o-mini\20251101-013502-modeS-RULES1-filtered-TIER1,runs\hurricane_harvey_2017\test\gpt-4o-mini\20251101-013502-modeS-RULES1-filtered-TIER1\predictions.csv,0.626215480915376,0.6664813785436353,1799,OPENAI_API_KEY_1
hurricane_irma_2017,test,runs\hurricane_irma_2017\test\gpt-4o-mini\20251101-020534-modeS-RULES1-filtered-TIER1,runs\hurricane_irma_2017\test\gpt-4o-mini\20251101-020534-modeS-RULES1-filtered-TIER1\predictions.csv,0.6194415332967615,0.6435483870967742,1860,OPENAI_API_KEY_1
