event,split,run_dir,predictions_csv,macro_f1,accuracy,num_total,key
canada_wildfires_2016,test,runs\canada_wildfires_2016\test\gpt-4o-mini\20251031-155147-modeS-RULES1-filtered-TIER1,runs\canada_wildfires_2016\test\gpt-4o-mini\20251031-155147-modeS-RULES1-filtered-TIER1\predictions.csv,0.6542300238714835,0.753393665158371,442,OPENAI_API_KEY_1
kaikoura_earthquake_2016,test,runs\kaikoura_earthquake_2016\test\gpt-4o-mini\20251031-163223-modeS-RULES1-filtered-TIER1,runs\kaikoura_earthquake_2016\test\gpt-4o-mini\20251031-163223-modeS-RULES1-filtered-TIER1\predictions.csv,0.6885914149860092,0.6944444444444444,432,OPENAI_API_KEY_1
cyclone_idai_2019,test,runs\cyclone_idai_2019\test\gpt-4o-mini\20251031-165248-modeS-RULES1-filtered-TIER1,runs\cyclone_idai_2019\test\gpt-4o-mini\20251031-165248-modeS-RULES1-filtered-TIER1\predictions.csv,0.5899529504325768,0.6902313624678663,778,OPENAI_API_KEY_1
hurricane_florence_2018,test,runs\hurricane_florence_2018\test\gpt-4o-mini\20251031-171317-modeS-RULES1-filtered-TIER1,runs\hurricane_florence_2018\test\gpt-4o-mini\20251031-171317-modeS-RULES1-filtered-TIER1\predictions.csv,0.6835227869010779,0.7491909385113269,1236,OPENAI_API_KEY_1
hurricane_maria_2017,test,runs\hurricane_maria_2017\test\gpt-4o-mini\20251031-173844-modeS-RULES1-filtered-TIER1,runs\hurricane_maria_2017\test\gpt-4o-mini\20251031-173844-modeS-RULES1-filtered-TIER1\predictions.csv,0.6288599619328568,0.6557719054242003,1438,OPENAI_API_KEY_1
california_wildfires_2018,test,runs\california_wildfires_2018\test\gpt-4o-mini\20251031-180915-modeS-RULES1-filtered-TIER1,runs\california_wildfires_2018\test\gpt-4o-mini\20251031-180915-modeS-RULES1-filtered-TIER1\predictions.csv,0.604939860214345,0.7011651816312543,1459,OPENAI_API_KEY_1
hurricane_dorian_2019,test,runs\hurricane_dorian_2019\test\gpt-4o-mini\20251031-182949-modeS-RULES1-filtered-TIER1,runs\hurricane_dorian_2019\test\gpt-4o-mini\20251031-182949-modeS-RULES1-filtered-TIER1\predictions.csv,0.594009089133127,0.6300268096514745,1492,OPENAI_API_KEY_1
kerala_floods_2018,test,runs\kerala_floods_2018\test\gpt-4o-mini\20251031-185521-modeS-RULES1-filtered-TIER1,runs\kerala_floods_2018\test\gpt-4o-mini\20251031-185521-modeS-RULES1-filtered-TIER1\predictions.csv,0.5370145036514388,0.6622390891840607,1581,OPENAI_API_KEY_1
hurricane_harvey_2017,test,runs\hurricane_harvey_2017\test\gpt-4o-mini\20251031-192054-modeS-RULES1-filtered-TIER1,runs\hurricane_harvey_2017\test\gpt-4o-mini\20251031-192054-modeS-RULES1-filtered-TIER1\predictions.csv,0.6134998888904096,0.6555740432612313,1804,OPENAI_API_KEY_1
hurricane_irma_2017,test,runs\hurricane_irma_2017\test\gpt-4o-mini\20251031-195128-modeS-RULES1-filtered-TIER1,runs\hurricane_irma_2017\test\gpt-4o-mini\20251031-195128-modeS-RULES1-filtered-TIER1\predictions.csv,0.6100136866832414,0.6331360946745562,1859,OPENAI_API_KEY_1
