label,precision,recall,f1,support,error_rate
caution_and_advice,0.5352112676056338,0.5135135135135135,0.5241379310344828,74,0.6448598130841121
displaced_people_and_evacuations,0.8644688644688645,0.8872180451127819,0.87569573283859,266,0.22112211221122113
infrastructure_and_utility_damage,0.6448979591836734,0.8977272727272727,0.7505938242280285,176,0.39923954372623577
injured_or_dead_people,0.0,0.0,0.0,0,1.0
missing_or_found_people,0.0,0.0,0.0,0,1.0
not_humanitarian,0.40963855421686746,0.6181818181818182,0.49275362318840576,55,0.6730769230769231
other_relevant_information,0.5323741007194245,0.3394495412844037,0.41456582633053224,218,0.7385159010600707
requests_or_urgent_needs,0.34615384615384615,0.6428571428571429,0.45,14,0.7096774193548387
rescue_volunteering_or_donation_effort,0.9426644182124789,0.8560490045941807,0.8972712680577849,653,0.18631732168850074
sympathy_and_support,0.7761194029850746,0.9203539823008849,0.8421052631578947,113,0.2727272727272727
