class_label,caution_and_advice,displaced_people_and_evacuations,infrastructure_and_utility_damage,injured_or_dead_people,missing_or_found_people,not_humanitarian,other_relevant_information,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,sympathy_and_support
caution_and_advice,0.3783783783783784,0.08108108108108109,0.20270270270270271,0.0,0.0,0.013513513513513514,0.3108108108108108,0.0,0.013513513513513514,0.0
displaced_people_and_evacuations,0.02631578947368421,0.8947368421052632,0.018796992481203006,0.0037593984962406013,0.0037593984962406013,0.0,0.015037593984962405,0.011278195488721804,0.018796992481203006,0.007518796992481203
infrastructure_and_utility_damage,0.0,0.017045454545454544,0.8977272727272727,0.005681818181818182,0.0,0.028409090909090908,0.03409090909090909,0.0,0.005681818181818182,0.011363636363636364
injured_or_dead_people,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
missing_or_found_people,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
not_humanitarian,0.0,0.07272727272727272,0.03636363636363636,0.0,0.0,0.6181818181818182,0.21818181818181817,0.01818181818181818,0.0,0.03636363636363636
other_relevant_information,0.0871559633027523,0.027522935779816515,0.25229357798165136,0.0,0.0045871559633027525,0.09174311926605505,0.4036697247706422,0.009174311926605505,0.05963302752293578,0.06422018348623854
requests_or_urgent_needs,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.7142857142857143,0.07142857142857142,0.07142857142857142
rescue_volunteering_or_donation_effort,0.0015313935681470138,0.02909647779479326,0.018376722817764167,0.0,0.0015313935681470138,0.022970903522205207,0.07197549770290965,0.018376722817764167,0.8009188361408882,0.03522205206738132
sympathy_and_support,0.017699115044247787,0.017699115044247787,0.0,0.0,0.0,0.0,0.0,0.0,0.02654867256637168,0.9380530973451328
