label,precision,recall,f1,support,error_rate
caution_and_advice,0.4772727272727273,0.5675675675675675,0.5185185185185185,74,0.65
displaced_people_and_evacuations,0.8472222222222222,0.9172932330827067,0.8808664259927798,266,0.2129032258064516
infrastructure_and_utility_damage,0.6916299559471366,0.8920454545454546,0.7791563275434245,176,0.3617886178861789
missing_or_found_people,0.0,0.0,0.0,0,1.0
requests_or_urgent_needs,0.3448275862068966,0.7142857142857143,0.46511627906976755,14,0.696969696969697
rescue_volunteering_or_donation_effort,0.9540636042402827,0.8269525267993875,0.8859721082854799,653,0.20471281296023564
sympathy_and_support,0.7291666666666666,0.9292035398230089,0.8171206225680934,113,0.3092105263157895
other_relevant_information,0.5877192982456141,0.3073394495412844,0.40361445783132527,218,0.7471698113207547
not_humanitarian,0.36363636363636365,0.7272727272727273,0.4848484848484849,55,0.68
