label,precision,recall,f1,support,error_rate
caution_and_advice,0.38372093023255816,0.6804123711340206,0.49070631970260226,97,0.6748768472906403
displaced_people_and_evacuations,0.5853658536585366,0.8372093023255814,0.6889952153110048,258,0.4744525547445255
infrastructure_and_utility_damage,0.49033816425120774,0.688135593220339,0.5726375176304656,295,0.5988142292490118
injured_or_dead_people,0.879800853485064,0.908223201174743,0.8937861271676301,1362,0.19203135205747876
missing_or_found_people,0.75,0.696,0.7219917012448134,125,0.43506493506493504
requests_or_urgent_needs,0.3068181818181818,0.4909090909090909,0.3776223776223776,55,0.7672413793103449
rescue_volunteering_or_donation_effort,0.9061371841155235,0.7598385469223007,0.8265642151481889,991,0.29560336763330214
sympathy_and_support,0.5720338983050848,0.8181818181818182,0.6733167082294265,330,0.4924812030075188
other_relevant_information,0.5436893203883495,0.15405777166437415,0.24008574490889603,727,0.8635809987819733
not_humanitarian,0.6179981634527089,0.7291440953412784,0.6689860834990059,923,0.49738610903659447
