class_label,caution_and_advice,displaced_people_and_evacuations,infrastructure_and_utility_damage,injured_or_dead_people,missing_or_found_people,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,sympathy_and_support,other_relevant_information,not_humanitarian
caution_and_advice,0.6804123711340206,0.010309278350515464,0.08247422680412371,0.041237113402061855,0.0,0.0,0.0,0.0,0.10309278350515463,0.08247422680412371
displaced_people_and_evacuations,0.03875968992248062,0.8372093023255814,0.015503875968992248,0.015503875968992248,0.0,0.015503875968992248,0.03488372093023256,0.027131782945736434,0.0,0.015503875968992248
infrastructure_and_utility_damage,0.010169491525423728,0.0576271186440678,0.688135593220339,0.10508474576271186,0.0,0.013559322033898305,0.010169491525423728,0.023728813559322035,0.023728813559322035,0.06779661016949153
injured_or_dead_people,0.0022026431718061676,0.027900146842878122,0.011013215859030838,0.908223201174743,0.00881057268722467,0.0007342143906020558,0.0007342143906020558,0.024229074889867842,0.0007342143906020558,0.015418502202643172
missing_or_found_people,0.008,0.008,0.0,0.272,0.696,0.0,0.0,0.016,0.0,0.0
requests_or_urgent_needs,0.0,0.01818181818181818,0.03636363636363636,0.0,0.03636363636363636,0.4909090909090909,0.36363636363636365,0.03636363636363636,0.0,0.01818181818181818
rescue_volunteering_or_donation_effort,0.005045408678102927,0.039354187689202826,0.020181634712411706,0.022199798183652877,0.010090817356205853,0.03128153380423814,0.7598385469223007,0.039354187689202826,0.03632694248234107,0.03632694248234107
sympathy_and_support,0.021212121212121213,0.02727272727272727,0.006060606060606061,0.006060606060606061,0.0030303030303030303,0.0030303030303030303,0.09696969696969697,0.8181818181818182,0.0030303030303030303,0.015151515151515152
other_relevant_information,0.07427785419532325,0.03851444291609354,0.14167812929848694,0.04676753782668501,0.0041265474552957355,0.015130674002751032,0.012379642365887207,0.07152682255845942,0.15405777166437415,0.44154057771664373
not_humanitarian,0.024918743228602384,0.020585048754062838,0.06175514626218852,0.041170097508125676,0.0010834236186348862,0.009750812567713976,0.004333694474539545,0.06500541711809317,0.04225352112676056,0.7291440953412784
