class_label,caution_and_advice,displaced_people_and_evacuations,infrastructure_and_utility_damage,injured_or_dead_people,missing_or_found_people,not_humanitarian,other_relevant_information,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,sympathy_and_support
caution_and_advice,0.6597938144329897,0.010309278350515464,0.030927835051546393,0.05154639175257732,0.0,0.09278350515463918,0.15463917525773196,0.0,0.0,0.0
displaced_people_and_evacuations,0.046511627906976744,0.8255813953488372,0.015503875968992248,0.015503875968992248,0.0,0.015503875968992248,0.0,0.015503875968992248,0.04263565891472868,0.023255813953488372
infrastructure_and_utility_damage,0.003389830508474576,0.06779661016949153,0.6779661016949152,0.1016949152542373,0.003389830508474576,0.07796610169491526,0.020338983050847456,0.01694915254237288,0.006779661016949152,0.023728813559322035
injured_or_dead_people,0.0007342143906020558,0.027900146842878122,0.009544787077826725,0.908223201174743,0.014684287812041116,0.018355359765051395,0.0007342143906020558,0.0,0.0014684287812041115,0.018355359765051395
missing_or_found_people,0.008,0.016,0.0,0.24,0.72,0.0,0.0,0.0,0.0,0.016
not_humanitarian,0.020585048754062838,0.023835319609967497,0.047670639219934995,0.04008667388949079,0.0010834236186348862,0.7540628385698809,0.041170097508125676,0.00866738894907909,0.005417118093174431,0.05742145178764897
other_relevant_information,0.0687757909215956,0.037138927097661624,0.13480055020632736,0.04264099037138927,0.002751031636863824,0.47042640990371387,0.1499312242090784,0.013755158184319119,0.012379642365887207,0.06740027510316368
requests_or_urgent_needs,0.0,0.01818181818181818,0.03636363636363636,0.0,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.5272727272727272,0.32727272727272727,0.03636363636363636
rescue_volunteering_or_donation_effort,0.004036326942482341,0.03128153380423814,0.011099899091826439,0.02320887991927346,0.010090817356205853,0.039354187689202826,0.044399596367305755,0.03229061553985873,0.7669021190716448,0.03733602421796166
sympathy_and_support,0.024242424242424242,0.02727272727272727,0.00909090909090909,0.015151515151515152,0.0030303030303030303,0.012121212121212121,0.0,0.0030303030303030303,0.10606060606060606,0.8
