label,precision,recall,f1,support,error_rate
caution_and_advice,0.4740740740740741,0.6597938144329897,0.5517241379310344,97,0.6190476190476191
displaced_people_and_evacuations,0.6346749226006192,0.7945736434108527,0.7056798623063685,258,0.45478723404255317
infrastructure_and_utility_damage,0.5170603674540682,0.6677966101694915,0.5828402366863906,295,0.5887265135699373
injured_or_dead_people,0.8963503649635036,0.9016152716593245,0.8989751098096632,1362,0.18351063829787234
missing_or_found_people,0.6985294117647058,0.76,0.7279693486590039,125,0.42771084337349397
not_humanitarian,0.5780392156862745,0.7984832069339112,0.6706096451319382,923,0.49555099247091033
other_relevant_information,0.4444444444444444,0.10453920220082531,0.16926503340757237,727,0.9075425790754258
requests_or_urgent_needs,0.27184466019417475,0.509090909090909,0.35443037974683544,55,0.7846153846153846
rescue_volunteering_or_donation_effort,0.9103362391033624,0.7376387487386479,0.8149386845039019,991,0.3123236124176858
sympathy_and_support,0.5879828326180258,0.8303030303030303,0.6884422110552765,330,0.47509578544061304
