class_label,caution_and_advice,displaced_people_and_evacuations,infrastructure_and_utility_damage,injured_or_dead_people,missing_or_found_people,not_humanitarian,other_relevant_information,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,sympathy_and_support
caution_and_advice,0.5154639175257731,0.010309278350515464,0.15463917525773196,0.030927835051546393,0.0,0.061855670103092786,0.21649484536082475,0.010309278350515464,0.0,0.0
displaced_people_and_evacuations,0.046511627906976744,0.748062015503876,0.023255813953488372,0.01937984496124031,0.003875968992248062,0.027131782945736434,0.01937984496124031,0.050387596899224806,0.04263565891472868,0.01937984496124031
infrastructure_and_utility_damage,0.0,0.061016949152542375,0.6779661016949152,0.11186440677966102,0.0,0.06779661016949153,0.03728813559322034,0.020338983050847456,0.003389830508474576,0.020338983050847456
injured_or_dead_people,0.0,0.019823788546255508,0.028634361233480177,0.895007342143906,0.013215859030837005,0.021292217327459617,0.006607929515418502,0.003671071953010279,0.0007342143906020558,0.011013215859030838
missing_or_found_people,0.0,0.016,0.008,0.264,0.688,0.0,0.016,0.008,0.0,0.0
not_humanitarian,0.013001083423618635,0.020585048754062838,0.06392199349945829,0.04008667388949079,0.0010834236186348862,0.7183098591549296,0.07583965330444203,0.013001083423618635,0.005417118093174431,0.04875406283856988
other_relevant_information,0.030261348005502064,0.02888583218707015,0.17056396148555708,0.04126547455295736,0.0041265474552957355,0.3988995873452545,0.2393397524071527,0.017881705639614855,0.009628610729023384,0.059147180192572216
requests_or_urgent_needs,0.0,0.0,0.01818181818181818,0.0,0.01818181818181818,0.03636363636363636,0.01818181818181818,0.5818181818181818,0.2909090909090909,0.03636363636363636
rescue_volunteering_or_donation_effort,0.0020181634712411706,0.018163471241170535,0.015136226034308779,0.02320887991927346,0.011099899091826439,0.03128153380423814,0.05852674066599395,0.044399596367305755,0.7628657921291625,0.033299697275479316
sympathy_and_support,0.021212121212121213,0.01818181818181818,0.006060606060606061,0.021212121212121213,0.006060606060606061,0.024242424242424242,0.00909090909090909,0.00909090909090909,0.10606060606060606,0.7787878787878788
