label,precision,recall,f1,support,error_rate
caution_and_advice,0.5434380776340111,0.7757255936675461,0.6391304347826087,379,0.5303514376996805
displaced_people_and_evacuations,0.7,0.8858921161825726,0.7820512820512819,482,0.35789473684210527
infrastructure_and_utility_damage,0.6160877513711152,0.7910798122065728,0.6927029804727646,852,0.470125786163522
injured_or_dead_people,0.9235668789808917,0.8913934426229508,0.9071949947862358,488,0.16984732824427481
missing_or_found_people,0.0,0.0,0.0,0,1.0
requests_or_urgent_needs,0.48412698412698413,0.5236051502145923,0.5030927835051546,233,0.6639118457300276
rescue_volunteering_or_donation_effort,0.8594771241830066,0.798582995951417,0.8279118572927597,1976,0.2936436884512086
sympathy_and_support,0.6137931034482759,0.8018018018018018,0.6953125,444,0.46706586826347307
other_relevant_information,0.579250720461095,0.16248989490703314,0.2537878787878788,1237,0.8546637744034707
not_humanitarian,0.265625,0.5923344947735192,0.3667745415318231,287,0.7754293262879789
