class_label,caution_and_advice,displaced_people_and_evacuations,infrastructure_and_utility_damage,injured_or_dead_people,not_humanitarian,other_relevant_information,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,sympathy_and_support
caution_and_advice,0.7757255936675461,0.005277044854881266,0.11609498680738786,0.0,0.023746701846965697,0.06596306068601583,0.0,0.010554089709762533,0.002638522427440633
displaced_people_and_evacuations,0.041666666666666664,0.8895833333333333,0.00625,0.0,0.020833333333333332,0.004166666666666667,0.0125,0.020833333333333332,0.004166666666666667
infrastructure_and_utility_damage,0.03873239436619718,0.005868544600938967,0.7910798122065728,0.007042253521126761,0.06455399061032864,0.02699530516431925,0.01056338028169014,0.02112676056338028,0.03403755868544601
injured_or_dead_people,0.006147540983606557,0.010245901639344262,0.006147540983606557,0.8913934426229508,0.02663934426229508,0.0020491803278688526,0.004098360655737705,0.0,0.05327868852459016
not_humanitarian,0.06993006993006994,0.03146853146853147,0.07692307692307693,0.013986013986013986,0.5944055944055944,0.08391608391608392,0.013986013986013986,0.02097902097902098,0.0944055944055944
other_relevant_information,0.11245954692556634,0.04773462783171521,0.24919093851132687,0.011326860841423949,0.24514563106796117,0.16262135922330098,0.022653721682847898,0.07928802588996764,0.06957928802588997
requests_or_urgent_needs,0.03879310344827586,0.02586206896551724,0.004310344827586207,0.0,0.04741379310344827,0.017241379310344827,0.5258620689655172,0.31896551724137934,0.021551724137931036
rescue_volunteering_or_donation_effort,0.008105369807497468,0.04711246200607903,0.015704154002026342,0.005572441742654508,0.02684903748733536,0.03292806484295846,0.04002026342451875,0.7993920972644377,0.0243161094224924
sympathy_and_support,0.015765765765765764,0.009009009009009009,0.018018018018018018,0.0022522522522522522,0.036036036036036036,0.0045045045045045045,0.0045045045045045045,0.10810810810810811,0.8018018018018018
