label,precision,recall,f1,support,error_rate
caution_and_advice,0.4710252600297177,0.7389277389277389,0.5753176043557168,429,0.5961783439490446
displaced_people_and_evacuations,0.7388429752066116,0.8465909090909091,0.7890556045895851,528,0.34839650145772594
infrastructure_and_utility_damage,0.6971214017521903,0.8458618071374335,0.7643224699828474,1317,0.38145474736257634
injured_or_dead_people,0.9224422442244224,0.8929712460063898,0.9074675324675324,626,0.16939078751857356
missing_or_found_people,0.0,0.0,0.0,0,1.0
requests_or_urgent_needs,0.29441624365482233,0.6590909090909091,0.4070175438596491,88,0.7444933920704846
rescue_volunteering_or_donation_effort,0.7113486842105263,0.7771787960467206,0.7428080721339632,1113,0.40915300546448086
sympathy_and_support,0.5520833333333334,0.6675062972292192,0.604332953249715,397,0.5669934640522876
other_relevant_information,0.6162528216704289,0.16535433070866143,0.26074498567335247,1651,0.8500823723228995
not_humanitarian,0.3951935914552737,0.6883720930232559,0.5021204410517388,430,0.6647791619479049
