class_label,caution_and_advice,displaced_people_and_evacuations,infrastructure_and_utility_damage,injured_or_dead_people,missing_or_found_people,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,sympathy_and_support,other_relevant_information,not_humanitarian
caution_and_advice,0.7389277389277389,0.013986013986013986,0.09090909090909091,0.004662004662004662,0.0,0.009324009324009324,0.006993006993006993,0.002331002331002331,0.10256410256410256,0.030303030303030304
displaced_people_and_evacuations,0.07196969696969698,0.8465909090909091,0.015151515151515152,0.005681818181818182,0.005681818181818182,0.001893939393939394,0.01893939393939394,0.011363636363636364,0.001893939393939394,0.020833333333333332
infrastructure_and_utility_damage,0.044798785117691725,0.00683371298405467,0.8458618071374335,0.009111617312072893,0.0,0.005315110098709187,0.005315110098709187,0.025056947608200455,0.015186028853454821,0.0425208807896735
injured_or_dead_people,0.001597444089456869,0.006389776357827476,0.023961661341853034,0.8929712460063898,0.0,0.0,0.004792332268370607,0.03035143769968051,0.003194888178913738,0.036741214057507986
missing_or_found_people,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
requests_or_urgent_needs,0.022727272727272728,0.022727272727272728,0.011363636363636364,0.022727272727272728,0.0,0.6590909090909091,0.2159090909090909,0.022727272727272728,0.011363636363636364,0.011363636363636364
rescue_volunteering_or_donation_effort,0.01078167115902965,0.031446540880503145,0.02425876010781671,0.0026954177897574125,0.0,0.042228212039532795,0.7771787960467206,0.02605570530098832,0.0637915543575921,0.0215633423180593
sympathy_and_support,0.017632241813602016,0.012594458438287154,0.0025188916876574307,0.0025188916876574307,0.007556675062972292,0.055415617128463476,0.19899244332493704,0.6675062972292192,0.010075566750629723,0.02518891687657431
other_relevant_information,0.13022410660205935,0.052695336159903086,0.2192610539067232,0.01029678982434888,0.0036341611144760752,0.03028467595396729,0.13688673531193216,0.06056935190793458,0.16535433070866143,0.19079345850999394
not_humanitarian,0.05116279069767442,0.023255813953488372,0.07209302325581396,0.01627906976744186,0.0,0.018604651162790697,0.009302325581395349,0.05813953488372093,0.06279069767441861,0.6883720930232559
