class_label,caution_and_advice,displaced_people_and_evacuations,infrastructure_and_utility_damage,injured_or_dead_people,missing_or_found_people,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,sympathy_and_support,other_relevant_information,not_humanitarian
caution_and_advice,0.4838709677419355,0.016129032258064516,0.0967741935483871,0.0,0.0,0.04838709677419355,0.03225806451612903,0.0,0.3225806451612903,0.0
displaced_people_and_evacuations,0.1,0.75,0.05,0.0,0.0,0.05,0.025,0.025,0.0,0.0
infrastructure_and_utility_damage,0.0,0.06048387096774194,0.7903225806451613,0.04838709677419355,0.0,0.016129032258064516,0.020161290322580645,0.036290322580645164,0.024193548387096774,0.004032258064516129
injured_or_dead_people,0.0033003300330033004,0.026402640264026403,0.036303630363036306,0.8052805280528053,0.0033003300330033004,0.039603960396039604,0.006600660066006601,0.07260726072607261,0.006600660066006601,0.0
missing_or_found_people,0.0,0.0,0.0,0.15384615384615385,0.8461538461538461,0.0,0.0,0.0,0.0,0.0
requests_or_urgent_needs,0.01,0.02,0.02,0.01,0.0,0.54,0.24,0.07,0.08,0.01
rescue_volunteering_or_donation_effort,0.0030581039755351682,0.0382262996941896,0.024464831804281346,0.010703363914373088,0.0015290519877675841,0.06574923547400612,0.6773700305810397,0.03669724770642202,0.1345565749235474,0.00764525993883792
sympathy_and_support,0.005917159763313609,0.005917159763313609,0.0029585798816568047,0.011834319526627219,0.0029585798816568047,0.020710059171597635,0.08284023668639054,0.8520710059171598,0.014792899408284023,0.0
other_relevant_information,0.056140350877192984,0.0456140350877193,0.11228070175438597,0.0456140350877193,0.007017543859649123,0.04912280701754386,0.08421052631578947,0.10526315789473684,0.4421052631578947,0.05263157894736842
not_humanitarian,0.05357142857142857,0.017857142857142856,0.05357142857142857,0.017857142857142856,0.0,0.03571428571428571,0.03571428571428571,0.125,0.375,0.2857142857142857
