class_label,caution_and_advice,displaced_people_and_evacuations,infrastructure_and_utility_damage,injured_or_dead_people,not_humanitarian,other_relevant_information,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,sympathy_and_support
caution_and_advice,0.6168831168831169,0.025974025974025976,0.12337662337662338,0.006493506493506494,0.025974025974025976,0.12987012987012986,0.032467532467532464,0.03896103896103896,0.0
displaced_people_and_evacuations,0.0,0.9782608695652174,0.0,0.0,0.0,0.0,0.010869565217391304,0.0,0.010869565217391304
infrastructure_and_utility_damage,0.00501002004008016,0.01002004008016032,0.8717434869739479,0.00501002004008016,0.027054108216432865,0.025050100200400802,0.02404809619238477,0.012024048096192385,0.02004008016032064
injured_or_dead_people,0.004739336492890996,0.009478672985781991,0.018957345971563982,0.8246445497630331,0.061611374407582936,0.009478672985781991,0.023696682464454975,0.004739336492890996,0.04265402843601896
not_humanitarian,0.026455026455026454,0.0,0.0582010582010582,0.010582010582010581,0.5396825396825397,0.10582010582010581,0.14285714285714285,0.026455026455026454,0.08994708994708994
other_relevant_information,0.056672760511883,0.024680073126142597,0.2056672760511883,0.006398537477148081,0.14625228519195613,0.23948811700182815,0.13985374771480805,0.1206581352833638,0.0603290676416819
requests_or_urgent_needs,0.004056795131845842,0.002028397565922921,0.02434077079107505,0.006085192697768763,0.014198782961460446,0.028397565922920892,0.7565922920892495,0.11764705882352941,0.04665314401622718
rescue_volunteering_or_donation_effort,0.002173913043478261,0.010144927536231883,0.011594202898550725,0.002173913043478261,0.011594202898550725,0.08043478260869565,0.06594202898550725,0.7992753623188406,0.016666666666666666
sympathy_and_support,0.008565310492505354,0.0,0.004282655246252677,0.0021413276231263384,0.014989293361884369,0.014989293361884369,0.10278372591006424,0.18843683083511778,0.6638115631691649
