class_label,caution_and_advice,displaced_people_and_evacuations,infrastructure_and_utility_damage,injured_or_dead_people,missing_or_found_people,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,sympathy_and_support,other_relevant_information,not_humanitarian
caution_and_advice,0.6168831168831169,0.025974025974025976,0.12337662337662338,0.006493506493506494,0.0,0.032467532467532464,0.03896103896103896,0.0,0.12987012987012986,0.025974025974025976
displaced_people_and_evacuations,0.0,0.9782608695652174,0.0,0.0,0.0,0.010869565217391304,0.0,0.010869565217391304,0.0,0.0
infrastructure_and_utility_damage,0.005005005005005005,0.01001001001001001,0.8708708708708709,0.005005005005005005,0.001001001001001001,0.024024024024024024,0.012012012012012012,0.02002002002002002,0.025025025025025027,0.02702702702702703
injured_or_dead_people,0.004739336492890996,0.009478672985781991,0.018957345971563982,0.8246445497630331,0.0,0.023696682464454975,0.004739336492890996,0.04265402843601896,0.009478672985781991,0.061611374407582936
missing_or_found_people,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
requests_or_urgent_needs,0.004016064257028112,0.002008032128514056,0.024096385542168676,0.006024096385542169,0.010040160642570281,0.748995983935743,0.11646586345381527,0.04618473895582329,0.028112449799196786,0.014056224899598393
rescue_volunteering_or_donation_effort,0.002167630057803468,0.010115606936416185,0.011560693641618497,0.002167630057803468,0.002890173410404624,0.0657514450867052,0.7969653179190751,0.016618497109826588,0.08020231213872832,0.011560693641618497
sympathy_and_support,0.00851063829787234,0.0,0.00425531914893617,0.002127659574468085,0.006382978723404255,0.10212765957446808,0.18723404255319148,0.6595744680851063,0.014893617021276596,0.014893617021276596
other_relevant_information,0.056517775752051046,0.024612579762989972,0.20510483135824978,0.006381039197812215,0.0027347310847766638,0.13947128532360983,0.1203281677301732,0.0601640838650866,0.23883318140382861,0.14585232452142205
not_humanitarian,0.026455026455026454,0.0,0.0582010582010582,0.010582010582010581,0.0,0.14285714285714285,0.026455026455026454,0.08994708994708994,0.10582010582010581,0.5396825396825397
