class_label,caution_and_advice,displaced_people_and_evacuations,infrastructure_and_utility_damage,injured_or_dead_people,missing_or_found_people,not_humanitarian,other_relevant_information,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,sympathy_and_support
caution_and_advice,0.6907216494845361,0.0,0.020618556701030927,0.030927835051546393,0.0,0.24742268041237114,0.0,0.010309278350515464,0.0,0.0
displaced_people_and_evacuations,0.06976744186046512,0.7325581395348837,0.023255813953488372,0.027131782945736434,0.003875968992248062,0.046511627906976744,0.0,0.023255813953488372,0.046511627906976744,0.027131782945736434
infrastructure_and_utility_damage,0.010169491525423728,0.05084745762711865,0.6677966101694915,0.09152542372881356,0.0,0.14576271186440679,0.0,0.010169491525423728,0.003389830508474576,0.020338983050847456
injured_or_dead_people,0.0014684287812041115,0.005139500734214391,0.016886930983847283,0.9170337738619677,0.011747430249632892,0.033773861967694566,0.0,0.0007342143906020558,0.0014684287812041115,0.011747430249632892
missing_or_found_people,0.016,0.008,0.0,0.28,0.68,0.008,0.0,0.0,0.0,0.008
not_humanitarian,0.010834236186348862,0.013001083423618635,0.018418201516793065,0.02600216684723727,0.0010834236186348862,0.8992416034669556,0.0,0.005417118093174431,0.0032502708559046588,0.02275189599133261
other_relevant_information,0.07702888583218707,0.033012379642365884,0.09353507565337002,0.03576341127922971,0.002751031636863824,0.6987620357634112,0.0,0.0068775790921595595,0.015130674002751032,0.037138927097661624
requests_or_urgent_needs,0.01818181818181818,0.0,0.0,0.0,0.03636363636363636,0.09090909090909091,0.0,0.43636363636363634,0.34545454545454546,0.07272727272727272
rescue_volunteering_or_donation_effort,0.013118062563067608,0.016145307769929364,0.011099899091826439,0.01917255297679112,0.012108980827447022,0.09485368314833502,0.0010090817356205853,0.03733602421796166,0.7709384460141272,0.024217961654894045
sympathy_and_support,0.024242424242424242,0.01818181818181818,0.00909090909090909,0.015151515151515152,0.0,0.07272727272727272,0.0,0.0,0.08484848484848485,0.7757575757575758
