label,precision,recall,f1,support,error_rate
caution_and_advice,0.37222222222222223,0.6907216494845361,0.4837545126353791,97,0.680952380952381
displaced_people_and_evacuations,0.7,0.7325581395348837,0.7159090909090908,258,0.4424778761061947
infrastructure_and_utility_damage,0.6024464831804281,0.6677966101694915,0.6334405144694534,295,0.5364705882352941
injured_or_dead_people,0.8953405017921147,0.9170337738619677,0.9060573086688429,1362,0.17175066312997347
missing_or_found_people,0.7142857142857143,0.68,0.6967213114754098,125,0.46540880503144655
not_humanitarian,0.5229993698802773,0.8992416034669556,0.6613545816733067,923,0.5059523809523809
other_relevant_information,0.0,0.0,0.0,727,1.0
requests_or_urgent_needs,0.2926829268292683,0.43636363636363634,0.35036496350364965,55,0.7876106194690266
rescue_volunteering_or_donation_effort,0.9095238095238095,0.7709384460141272,0.8345166575641726,991,0.2839737582005623
sympathy_and_support,0.7071823204419889,0.7757575757575758,0.7398843930635838,330,0.41284403669724773
